Datum;Tag;  Uhrzeit  ;Seminargruppe;Prüfer;Fach
08. Feb;Mi;13:00-16:00;BW15-B, IF15wW-B;G. Köbernik;Prozessmanagement
08. Feb;Mi;13:00-14:30;BW17w1-M;U. Meister;Führung und Organisation, Führungsprozesse
08. Feb;Mi;13:00-15:00;WI14w1-D, WI14w2-D;R. Ufer;CAD-Techniken
08. Feb;Mi;08:00-09:30;KE15wLA, KE15wWA;S. Schmeißer;Industrielle Steuerung/ Industrielle Kommunikation
08. Feb;Mi;13:00-14:30;ZM16wT-M, ZM17s1-M, ZM17sT-M, ZM17w1-M, ZM17wT-M;B. Schusser;Energiemanagement I
09. Feb;Do;15:30-17:00;EU16wP-B, MB16w1-B, MB16w2-B, MB16w3-BS;L. Ehrt;Kosten- und Erfolgsrechnung
09. Feb;Do;10:30-12:00;EE17w1-B;M. Karapanos;Grundlagen Physik
09. Feb;Do;10:30-12:00;EU17w1-B;M. Karapanos;Grundlagen Physik
09. Feb;Do;13:00-14:30;BW17-B, WI17-D;A. Hollidt, T. Meier;Buchführung und Bilanzierung
09. Feb;Do;15:30-17:00;FM17w1-B, FM17w2-B;J. Mehlis, P. Wagner;Einführung in den Studiengang
09. Feb;Do;10:30-12:00;WI14w1-D, WI14w2-D;L. Rauchfuß;Moderne Maschinensysteme
10. Feb;Fr;10:30-12:00;MB17w1-M, ME17w1-M;A. Peters;Arbeitsrecht
10. Feb;Fr;15:30-17:00;LT17w1-B, MG16w1-B, MG16w2-B, MG16w3-B, OM17w1-Z;F. Weidermann, L. Weigend;Konstruktion
10. Feb;Fr;08:00-09:30;IM16w1-B, WI16w1-D, WI16w2-D;R. Parthier;Grundlagen der Elektrotechnik
10. Feb;Fr;13:00-14:30;EE15w1-B, EI14wA-BC, EI15sA-BC, EI15wE-B, EU-B, WI14-D;R. Hartig;Techn. Dienstleistungen
13. Feb;Mo;10:30-12:00;BT14-B, BT15-B, BT16-B, EU15-B, EU16-B, MB16-M;M. Vieweg, S. Sommerfeld;Physikalische Chemie
13. Feb;Mo;13:00-13:45;BW15-B;K. Walther-Reining;Aktuelle Probleme des Rechts
13. Feb;Mo;15:30-17:00;BW17w1-B;K. Walther-Reining;Wirtschaft und Gesellschaft
13. Feb;Mo;10:30-12:00;FM15w1-B, FM15w2-B, FM15w3-B;J. Mehlis;Gebäudetechnische Anlagen II
14. Feb;Di;15:30-17:00;WI16w1-D;K. Walther-Reining;Gesellschaftsrecht und Betriebl. Steuern
14. Feb;Di;13:00-14:30;BW16w1-B;B. Riedl;Steuern
14. Feb;Di;08:00-09:30;WI14w1-D, WI14w2-D;C. Schulz;Sensorik/ Aktorik
